ATR,Entry_Window,Exit_Window,Sharpe,Net_Profit,Drawdown,Trades,WinRate
2.5,35,5,0.8632851864179754,2160.1014067463034,46.43892923923893,22,45.45454545454545
1.5,30,10,0.8623789767097682,2007.4189221113202,32.73828827843687,24,41.66666666666667
2.75,25,15,0.861722620049001,2616.0214001781846,47.69051721376085,18,44.44444444444444
2.5,20,10,0.8610495599578455,2578.740756140366,44.065958229719485,25,40.0
2.0,25,15,0.8604071619075678,2265.654118663876,46.432630914822674,23,47.82608695652174
1.5,40,10,0.8600869994965678,1974.1695079900296,32.73828827843689,23,43.47826086956522
1.5,40,15,0.8600869994965678,1974.1695079900296,32.73828827843689,23,43.47826086956522
1.5,40,20,0.8600869994965678,1974.1695079900296,32.73828827843689,23,43.47826086956522
3.0,35,15,0.8597673958385234,2513.3489989996897,43.46681312009125,16,43.75
2.0,35,10,0.8580905996300985,2137.4064158609476,42.67698626025572,21,47.61904761904761
2.0,25,20,0.8538483796724844,2171.317801366234,46.43263091482266,22,45.45454545454545
2.0,35,20,0.8526150959607912,2069.0061451552215,42.67698626025572,20,45.0
1.5,30,15,0.8517416386726765,1963.8004757442454,32.73828827843687,24,41.66666666666667
1.5,30,20,0.8517416386726765,1963.8004757442454,32.73828827843687,24,41.66666666666667
2.75,30,15,0.8512677567114909,2470.7041014154725,39.97487614259107,17,41.17647058823529
3.0,35,10,0.8479558599218227,2324.0541249895296,48.8996216960851,18,50.0
2.75,40,10,0.8459781302805166,2304.1575561022105,47.14320008167556,18,50.0
1.75,40,15,0.845657391606643,2026.7690996790661,38.41149078797807,22,45.45454545454545
1.5,35,5,0.8452053868367848,1891.1711530471216,39.223981437821955,24,41.66666666666667
2.5,30,5,0.8423663995874582,2070.696218023135,46.43892923923894,23,43.47826086956522
1.75,35,20,0.8407292379353897,2013.8710788888507,38.41149078797807,22,45.45454545454545
2.0,25,5,0.8402632375683905,2069.2255270215956,49.94810183802827,25,44.0
2.0,35,15,0.8397674131622477,2056.928971417149,42.67698626025572,21,47.61904761904761
2.5,40,5,0.8396164680981497,2036.7510260493368,46.43892923923892,22,45.45454545454545
3.0,40,15,0.8388092072658825,2376.2702580057885,43.46681312009126,16,43.75
1.75,25,5,0.838729563791442,2019.1593428581232,47.996363562035135,26,42.30769230769231
2.0,30,10,0.8372577164940642,2048.645039593461,42.67698626025571,22,45.45454545454545
2.5,20,20,0.836573699143374,2463.0836840608936,48.570196945599484,22,31.818181818181817
